ID	Block	Pop	CrossPop	Cytop	FamA	Fam	SurvPla	SurvSum0	SurvWin1	SurvSum1	SurvWin2	SurvSum2	SurvWin3	SurvSum3	SurvWin4	SurvSum4	Flow1	Flow2	Flow3	Flow4	TotSh1	TotSh2	TotSh3	FrSh1	FrSh2	FrSh3	SeFrG1	SeFrG2	SeFrG3	FlStart1	FlStart2	FlStart3	H1Sh1	TotFl1	PsM12
245	S2	F2	NSx	N	F2B	F2B	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	3	0	0	5.333333	0	0	167	NA	NA	3.18	5	13.05215
246	S2	F2	SNx 	S	F2A	F2A	1	1	1	1	1	1	1	1	1	1	1	0	1	0	3	0	2	5.333333333	0	3	7.666667	0	0.666666667	159	NA	174	4.21	26	10.20523333
249	S2	S	S	S	S10	S10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	5	4	6.333333333	4.5	3	19	15.333333	0	159	155	159	2.83	47	6.9787
250	S2	F2	NSx	N	F2B	F2B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	2	2	4.5	4	3	2.666667	8.666667	NA	159	159	184	2.19	28	7.643366667
251	S2	F1 	Sx	S	F1C	F1A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	5.666666667	4.5	8	7.333333	1.666667	1.666666667	159	157	159	4.94	18	9.976166667
252	S2	F2	NSx	N	F2B	F2B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	3	3	4	3.5	3	8	3.666667	0.333333333	159	157	159	2.78	22	10.49926667
253	S2	S	S	S	S9	S9	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	2	1	10	0	0	6.333333	0	0	156	NA	NA	2.23	13	5.901633333
254	S2	F2	NSx	N	F2B	F2B	1	1	1	1	1	1	1	1	0	0	1	1	1	0	9	9	9	5.111111111	1.833333333	2	11.666667	0.333333	1	159	161	158	4.69	67	11.69373333
255	S2	F2	SNx 	S	F2A	F2A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	4	4	5.666666667	4	4	8.333333	1.666667	2	159	161	173	5.64	48	13.7764
256	S2	F1 	Nx	N	F1C	F1B	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	NA
257	S2	F2	SNx 	S	F2A	F2A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	1	1	4	1	5	5.333333	1	NA	163	169	176	5.77	27	15.84366667
258	S2	F2	NSx	N	F2B	F2B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	2	2	2.75	3.5	3	4	2.333333	4	163	158	167	5.27	20	10.3177
263	S2	F2	NSx	N	F2B	F2B	1	1	1	1	1	1	1	1	1	1	1	1	1	0	5	1	3	5.2	0	3	11.666667	0	0.333333333	159	181	174	2.55	39	8.1612
